All installed programs list generated by choco-package-list-backup on 2021-10-13.


DisplayName                                                                   DisplayVersion               Publisher                         
Visual C++ Library CRT Appx Resource Package                                  14.30.30528                  Microsoft Corporation             
Microsoft .NET Native SDK                                                     15.0.24211.07                Microsoft Corporation             
Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219                   10.0.40219                   Microsoft Corporation             
                                                                                                                                             
                                                                                                                                             
                                                                                                                                             
                                                                                                                                             
                                                                                                                                             
                                                                                                                                             
                                                                                                                                             
vs_SQLClickOnceBootstrappermsi                                                17.0.31703                   Microsoft Corporation             
Windows SDK for Windows Store Apps Libs                                       10.1.20348.1                 Microsoft Corporation             
Windows Desktop Extension SDK                                                 10.1.20348.1                 Microsoft Corporation             
Windows IoT Extension SDK                                                     10.1.20348.1                 Microsoft Corporation             
Windows Setup Files (OnecoreUAP)                                              10.1.21382.1                 Microsoft                         
Windows SDK Desktop Headers arm                                               10.1.20348.1                 Microsoft Corporation             
vs_minshellmsi                                                                17.0.31709                   Microsoft Corporation             
Windows Deployment Tools                                                      10.1.21382.1                 Microsoft                         
Windows SDK Desktop Tools x64                                                 10.1.19041.685               Microsoft Corporation             
Windows SDK Modern Versioned Developer Tools                                  10.1.19041.685               Microsoft Corporation             
Windows Team Extension SDK Contracts                                          10.1.20348.1                 Microsoft Corporation             
WinRT Intellisense PPI - Other Languages                                      10.1.19041.685               Microsoft Corporation             
Windows SDK for Windows Store Managed Apps Libs                               10.1.19041.685               Microsoft Corporation             


